Period;Date;stage;GSPC;SHY;IEF;TLT;GLD;DBC;IGLB
3;14/12/1982;light green;-0.018220815;;;;;;
3;15/12/1982;light green;-0.01572044;;;;;;
3;16/12/1982;light green;0.000443638;;;;;;
3;17/12/1982;light green;0.01618627;;;;;;
3;20/12/1982;light green;-0.009018877;;;;;;
3;21/12/1982;light green;0.017321105;;;;;;
3;22/12/1982;light green;0.001587196;;;;;;
3;23/12/1982;light green;0.006410714;;;;;;
3;27/12/1982;light green;0.017535049;;;;;;
3;28/12/1982;light green;-0.009847323;;;;;;
3;29/12/1982;light green;0.003338788;;;;;;
3;30/12/1982;light green;-0.00644296;;;;;;
3;31/12/1982;light green;0.002209061;;;;;;
3;3/01/1983;light green;-0.016353833;;;;;;
3;4/01/1983;light green;0.021830305;;;;;;
3;5/01/1983;light green;0.004244525;;;;;;
3;6/01/1983;light green;0.023316409;;;;;;
3;7/01/1983;light green;-0.000619616;;;;;;
3;10/01/1983;light green;0.011020844;;;;;;
3;11/01/1983;light green;-0.006812917;;;;;;
3;12/01/1983;light green;0.006242308;;;;;;
3;13/01/1983;light green;-0.006544459;;;;;;
3;14/01/1983;light green;0.006313033;;;;;;
3;17/01/1983;light green;0.000477377;;;;;;
3;18/01/1983;light green;-0.002181075;;;;;;
3;19/01/1983;light green;-0.007718509;;;;;;
3;20/01/1983;light green;0.007021332;;;;;;
3;21/01/1983;light green;-0.016679112;;;;;;
3;24/01/1983;light green;-0.026972574;;;;;;
3;25/01/1983;light green;0.012717002;;;;;;
3;26/01/1983;light green;-0.001481529;;;;;;
3;27/01/1983;light green;0.019287912;;;;;;
3;28/01/1983;light green;0.00166348;;;;;;
3;31/01/1983;light green;0.005466809;;;;;;
3;1/02/1983;light green;-0.016104586;;;;;;
3;2/02/1983;light green;0.001888563;;;;;;
3;3/02/1983;light green;0.007191223;;;;;;
3;4/02/1983;light green;0.01303206;;;;;;
3;7/02/1983;light green;0.005405729;;;;;;
3;8/02/1983;light green;-0.008371305;;;;;;
3;9/02/1983;light green;-0.004804371;;;;;;
3;10/02/1983;light green;0.017241379;;;;;;
3;11/02/1983;light green;0.001016908;;;;;;
3;14/02/1983;light green;0.008669142;;;;;;
3;15/02/1983;light green;-0.004230106;;;;;;
3;16/02/1983;light green;-0.005866557;;;;;;
3;17/02/1983;light green;6.79E-05;;;;;;
3;18/02/1983;light green;0.003798139;;;;;;
3;22/02/1983;light green;-0.017027056;;;;;;
3;23/02/1983;light green;0.009004658;;;;;;
3;24/02/1983;light green;0.019143081;;;;;;
3;25/02/1983;light green;0.000935825;;;;;;
3;28/02/1983;light green;-0.011219499;;;;;;
3;1/03/1983;light green;0.019046382;;;;;;
3;2/03/1983;light green;0.009411441;;;;;;
3;3/03/1983;light green;0.007747817;;;;;;
3;4/03/1983;light green;0.001237963;;;;;;
3;7/03/1983;light green;0;;;;;;
3;8/03/1983;light green;-0.015682981;;;;;;
3;9/03/1983;light green;0.010643929;;;;;;
3;10/03/1983;light green;-0.006999359;;;;;;
3;11/03/1983;light green;-0.003689049;;;;;;
3;14/03/1983;light green;-0.002710947;;;;;;
3;15/03/1983;light green;0.003580145;;;;;;
3;16/03/1983;light green;-0.010305857;;;;;;
3;17/03/1983;light green;-0.001468536;;;;;;
3;18/03/1983;light green;0.002072315;;;;;;
3;21/03/1983;light green;0.008605794;;;;;;
3;22/03/1983;light green;-0.003505514;;;;;;
3;23/03/1983;light green;0.014270502;;;;;;
3;24/03/1983;light green;0.003664665;;;;;;
3;25/03/1983;light green;-0.004564106;;;;;;
3;28/03/1983;light green;-0.00537101;;;;;;
3;29/03/1983;light green;-0.00171228;;;;;;
3;30/03/1983;light green;0.011874155;;;;;;
3;31/03/1983;light green;-0.002803264;;;;;;
3;4/04/1983;light green;0.000392244;;;;;;
3;5/04/1983;light green;-0.007319372;;;;;;
3;6/04/1983;light green;-0.005661624;;;;;;
3;7/04/1983;light green;0.004766957;;;;;;
3;8/04/1983;light green;0.00718247;;;;;;
3;11/04/1983;light green;0.014981964;;;;;;
3;12/04/1983;light green;0.004383189;;;;;;
3;13/04/1983;light green;0.006096759;;;;;;
3;14/04/1983;light green;0.008611283;;;;;;
3;15/04/1983;light green;0.003984347;;;;;;
3;18/04/1983;light green;0.006236255;;;;;;
3;19/04/1983;light green;-0.00644797;;;;;;
3;20/04/1983;light green;0.0126016;;;;;;
3;21/04/1983;light green;-0.004106798;;;;;;
3;22/04/1983;light green;0.002311747;;;;;;
3;25/04/1983;light green;-0.010036159;;;;;;
3;26/04/1983;light green;0.018890498;;;;;;
