Date,stage,d_GSPC,d_IXIC,d_DJI,d_IWM
06/07/2001,red,-0.023498265,-0.036512525,-0.021677833,-0.018423332
09/07/2001,red,0.006878995,0.01125156,0.004556926,0.009384351
10/07/2001,red,-0.014397978,-0.031538761,-0.012016305,-0.018594934
11/07/2001,red,-0.001134104,0.004712679,0.006425137,0
12/07/2001,red,0.023691267,0.052585114,0.023237013,0.024526308
13/07/2001,red,0.006241031,0.004359915,0.00573236,0.004828725
16/07/2001,red,-0.010882882,-0.02670295,-0.006351558,-0.016871061
17/07/2001,red,0.009971301,0.018825931,0.012821619,0.019760995
18/07/2001,red,-0.005541633,-0.024742189,-0.003446938,-0.018867917
19/07/2001,red,0.006052827,0.015087974,0.003800432,0.008316005
20/07/2001,red,-0.003432078,-0.008413982,-0.003143224,0
23/07/2001,red,-0.016368623,-0.020109658,-0.01439307,-0.007216905
24/07/2001,red,-0.016271634,-0.014744372,-0.017583693,-0.016614745
25/07/2001,red,0.016079858,0.01280086,0.016067559,0.005808238
26/07/2001,red,0.010449533,0.019472674,0.004801225,0.014697841
27/07/2001,red,0.002402377,0.003020319,-0.003726218,-0.001551888
30/07/2001,red,-0.001078043,-0.005534546,-0.001435218,-0.001553988
31/07/2001,red,0.00557065,0.004603952,0.011641329,-0.001245771
01/08/2001,red,0.003880414,0.020348906,-0.001216386,0.015275792
02/08/2001,red,0.003963999,0.009185933,0.00391721,-0.003070624
03/08/2001,red,-0.005242698,-0.010084319,-0.003639349,-0.002566631
06/08/2001,red,-0.011421745,-0.015520303,-0.010603351,-0.01389593
07/08/2001,red,0.003265397,-0.003180503,0.005521484,0.001044051
08/08/2001,red,-0.017328126,-0.03029409,-0.015799248,-0.022419486
09/08/2001,red,-8.44719E-05,-0.001546024,0.000491531,0.010133009
10/08/2001,red,0.005686842,-0.003488975,0.011427853,-0.001055966
13/08/2001,red,0.000949456,0.013176808,-3.26259E-05,0.00845719
14/08/2001,red,-0.003827833,-0.008939322,-0.000359089,0.003144442
15/08/2001,red,-0.007339462,-0.023232027,-0.006359839,-0.001254023
16/08/2001,red,0.003089942,0.005956533,0.004501213,0.006486921
17/08/2001,red,-0.016663052,-0.032797639,-0.014600815,-0.015592926
20/08/2001,red,0.008124188,0.007680712,0.007742578,0.011087857
21/08/2001,red,-0.01207948,-0.026603199,-0.014140471,-0.017232163
22/08/2001,red,0.006956128,0.015677366,0.01010019,0.013283415
23/08/2001,red,-0.002763293,-0.009161262,-0.004646343,-0.013109279
24/08/2001,red,0.01965432,0.04006038,0.018967316,0.021253337
27/08/2001,red,-0.004827368,-0.002290283,-0.003916305,-0.003641623
28/08/2001,red,-0.015010008,-0.024801195,-0.015441528,-0.010966265
29/08/2001,red,-0.011149238,-0.011694461,-0.012828164,-0.004223865
30/08/2001,red,-0.017003926,-0.027935561,-0.016977703,-0.012619194
31/08/2001,red,0.004029943,0.007674361,0.003041452,0.008377187
04/09/2001,red,-0.000564596,-0.019192117,0.004798134,-0.009478643
05/09/2001,red,-0.001059148,-0.006646799,0.003578828,-0.006989351
06/09/2001,red,-0.022390272,-0.030340927,-0.01917916,-0.023281201
07/09/2001,red,-0.018637016,-0.010518083,-0.023879083,-0.018514184
10/09/2001,red,0.006225948,0.004550604,-3.53788E-05,-0.007681348
17/09/2001,red,-0.049215605,-0.06832094,-0.071293413,-0.049516495
18/09/2001,red,-0.005804971,-0.015491812,-0.001939288,-0.016167545
19/09/2001,red,-0.016112491,-0.017542447,-0.016203978,-0.024223674
20/09/2001,red,-0.031059934,-0.037223454,-0.043716662,-0.038048826
21/09/2001,red,-0.01903426,-0.032455733,-0.016761804,-0.018804232
24/09/2001,red,0.038983252,0.053548779,0.044689084,0.030927355
25/09/2001,red,0.008789683,0.001493925,0.006521419,0.012179937
26/09/2001,red,-0.005166647,-0.025039274,-0.010690578,-0.014819816
27/09/2001,red,0.011489124,-0.002274581,0.013309804,0.016071289
28/09/2001,red,0.021921988,0.026076421,0.019137382,0.014804434
01/10/2001,red,-0.002295898,-0.012236514,-0.001212706,-0.005081264
02/10/2001,red,0.012305528,0.008017775,0.012873368,0.010943817
03/10/2001,red,0.01992721,0.059289906,0.019349611,0.022768957
04/10/2001,red,-0.002471392,0.010437687,-0.006894115,0.009975756
05/10/2001,red,0.00163608,0.005002153,0.00649933,-0.005058171
08/10/2001,red,-0.008344438,0.000404848,-0.005683159,-0.009080607
09/10/2001,red,-0.005355541,-0.022267201,-0.001709319,-0.008307948
10/10/2001,red,0.022938245,0.0357091,0.020814268,0.034865021
11/10/2001,red,0.015208341,0.046247193,0.01835217,0.016071523
12/10/2001,red,-0.005266878,0.001134344,-0.0070443,-0.003163322
15/10/2001,red,-0.001529835,-0.004162243,0.000370281,0.003761707
16/10/2001,red,0.006935961,0.015185836,0.003916543,0.013465348
17/10/2001,red,-0.018632644,-0.043976135,-0.016118609,-0.028306675
18/10/2001,red,-0.007873048,0.003875266,-0.007554449,-0.006421448
19/10/2001,red,0.004557318,0.011248178,0.004462473,0.012446264
22/10/2001,red,0.015296088,0.022000644,0.01878725,0.00898371
23/10/2001,red,-0.004697674,-0.002131057,-0.003940501,-0.006560748
24/10/2001,red,0.000387103,0.015899708,0.000593147,0.006485641
25/10/2001,red,0.013720988,0.02537044,0.012549223,0.022261631
26/10/2001,red,0.004108772,-0.00366664,0.008693902,0
29/10/2001,red,-0.023818304,-0.039254671,-0.028880567,-0.020057305
30/10/2001,red,-0.017165918,-0.018893561,-0.015914508,-0.021052765
31/10/2001,red,-9.44527E-06,0.013667854,-0.00513494,0.016726273
01/11/2001,red,0.022948108,0.033191397,0.020799762,0.017626409
02/11/2001,red,0.002859492,-0.000326444,0.006437855,-0.006928279
05/11/2001,red,0.014385592,0.02744986,0.012601462,0.014534933
06/11/2001,red,0.01452615,0.023098114,0.015897613,0.014326008
07/11/2001,red,-0.002734869,0.001335131,-0.003831669,-0.006779313
08/11/2001,red,0.002455628,-0.005311483,0.003469555,-0.002275498
09/11/2001,red,0.001582438,0.00038843,0.002136159,-0.003420178
12/11/2001,red,-0.00176746,0.006371426,-0.005581795,0.004004187
13/11/2001,red,0.018563403,0.028247993,0.020574886,0.018233966
14/11/2001,red,0.00186113,0.005855873,0.007451598,0.009960659
15/11/2001,red,0.000902576,-0.001376633,0.004965516,-0.003767428
16/11/2001,red,-0.003142917,-0.001047049,-0.000546921,0.001000666
19/11/2001,red,0.010898902,0.018877313,0.011094541,0.011223302
20/11/2001,red,-0.007297643,-0.027868836,-0.007525723,-0.005714313
21/11/2001,red,-0.004927104,-0.002903447,-0.006736454,-0.003425651
23/11/2001,red,0.01170588,0.01501288,0.012713202,0.014527603
26/11/2001,red,0.00615477,0.019982151,0.002313324,0.005138237
27/11/2001,red,-0.006842843,-0.002709627,-0.011034073,-0.003262636
