Period,Date,stage,GSPC,SHY,IEF,TLT,GLD,DBC,IGLB
1,14/09/1976,dark green,-0.003356012,,,,,,
1,15/09/1976,dark green,0.002982467,,,,,,
1,16/09/1976,dark green,0.0104556,,,,,,
1,17/09/1976,dark green,0.008828558,,,,,,
1,20/09/1976,dark green,0.000470529,,,,,,
1,21/09/1976,dark green,0.014202428,,,,,,
1,22/09/1976,dark green,-0.003431352,,,,,,
1,23/09/1976,dark green,-0.005025134,,,,,,
1,24/09/1976,dark green,-0.001122289,,,,,,
1,27/09/1976,dark green,0.004400688,,,,,,
1,28/09/1976,dark green,-0.012585051,,,,,,
1,29/09/1976,dark green,-0.005192556,,,,,,
1,30/09/1976,dark green,-0.001233793,,,,,,
1,01/10/1976,dark green,-0.010167234,,,,,,
1,04/10/1976,dark green,-0.001343951,,,,,,
1,05/10/1976,dark green,-0.007690045,,,,,,
1,06/10/1976,dark green,-0.002518669,,,,,,
1,07/10/1976,dark green,0.00553559,,,,,,
1,08/10/1976,dark green,-0.009464973,,,,,,
1,11/10/1976,dark green,-0.008970341,,,,,,
1,12/10/1976,dark green,-0.008166094,,,,,,
1,13/10/1976,dark green,0.012994793,,,,,,
1,14/10/1976,dark green,-0.01243639,,,,,,
1,15/10/1976,dark green,0.00029746,,,,,,
1,18/10/1976,dark green,0.005848572,,,,,,
1,19/10/1976,dark green,-0.000197145,,,,,,
1,20/10/1976,dark green,0.002858561,,,,,,
1,21/10/1976,dark green,-0.00953412,,,,,,
1,22/10/1976,dark green,-0.008038082,,,,,,
1,25/10/1976,dark green,0.001100446,,,,,,
1,26/10/1976,dark green,0.009893054,,,,,,
1,27/10/1976,dark green,0.006926623,,,,,,
1,28/10/1976,dark green,-0.001474071,,,,,,
1,29/10/1976,dark green,0.01269561,,,,,,
1,01/11/1976,dark green,0.001943605,,,,,,
1,03/11/1976,dark green,-0.011445202,,,,,,
1,04/11/1976,dark green,0.004807746,,,,,,
1,05/11/1976,dark green,-0.015525866,,,,,,
1,08/11/1976,dark green,-0.012100786,,,,,,
1,09/11/1976,dark green,-0.002811233,,,,,,
1,10/11/1976,dark green,-0.005134939,,,,,,
