Date,stage,GSPC,SHY,IEF,TLT,GLD,DBC,IGLB
10/01/2011,dark green,-0.001376327,0.00047587,0.00340919,0.005413793,0.004042471,0.011799434,0.001517404
11/01/2011,dark green,0.003725127,-0.000595203,-0.003928361,-0.005600978,0.005890312,0.011297332,-0.007009666
12/01/2011,dark green,0.00900758,0,-0.00287946,-0.007798051,0.004076814,0.006486491,0.006867843
13/01/2011,dark green,-0.001710746,0.000357294,0.006736804,0.008951444,-0.010409003,-0.001432208,0
14/01/2011,dark green,0.007384542,0,-0.002762149,-0.006383306,-0.010145473,0.004661263,-0.004546871
18/01/2011,dark green,0.001376411,-0.000237579,-0.002449212,-0.004681566,0.005576835,-0.001070793,-0.002855151
19/01/2011,dark green,-0.010115655,0.00047587,0.002562584,0.007219743,0.002173488,-0.0010718,0.002863326
20/01/2011,dark green,-0.001294959,-0.001070747,-0.007774887,-0.013794316,-0.01884538,-0.010014275,-0.007613311
21/01/2011,dark green,0.002413546,0.000238077,0.003328607,0.007930122,-0.001295717,0.010115575,0.005178979
24/01/2011,dark green,0.00583628,-0.000118661,0.000105959,0.000436516,-0.005113319,-0.008583604,0.000189716
25/01/2011,dark green,0.000263463,0.000714045,0.005027336,0.009502461,-0.001994435,-0.012626275,0.012781597
26/01/2011,dark green,0.004220907,-0.000237579,-0.006066456,-0.015146893,0.00814756,0.022287164,-0.016386765
27/01/2011,dark green,0.002244306,0.000713506,0.003747722,0.00450435,-0.024626436,-0.008577608,0.005553022
28/01/2011,dark green,-0.017852527,0.000475929,0.004587462,0.005248334,0.018369409,0.012617173,0.002666732
31/01/2011,dark green,0.007662558,-0.000118577,-0.003929437,-0.007613649,-0.003147096,0.015663988,-0.007407972
01/02/2011,dark green,0.016693599,-0.001095224,-0.004649188,-0.004951414,0.007161069,0.007360667,0.000692345
02/02/2011,dark green,-0.002722518,-0.000595401,-0.002361849,0.000221409,-0.002675888,0.009742488,-0.005762525
03/02/2011,dark green,0.0023542,-0.000953329,-0.005704758,-0.008290315,0.013415102,-0.006547142,0.000772883
04/02/2011,dark green,0.002884262,-0.000835434,-0.006170264,-0.010142482,-0.004084669,-0.005549854,-0.004826908
07/02/2011,dark green,0.006240172,-0.000477919,-0.000435258,0.005179834,0.000151823,-0.002790345,0.002327862
08/02/2011,dark green,0.004184752,-0.001313979,-0.006865519,-0.009186534,0.011087536,0.00664575,-0.004450885
09/02/2011,dark green,-0.002785765,0.000717513,0.005705603,0.008706414,-0.000525703,0.004864371,0.011663842
10/02/2011,dark green,0.000749493,-0.000478533,-0.003273098,-0.011545179,-0.001653274,-0.005878226,-0.008455396
11/02/2011,dark green,0.005507371,0,0.004597795,0.014401465,-0.003989453,-0.003478226,0.004070458
14/02/2011,dark green,0.002384924,0,0.000326423,0.000670332,0.004761106,0.004886512,0
15/02/2011,dark green,-0.003234911,0.000478762,0.002287068,0.004468303,0.00767209,-0.01285169,-0.001737777
16/02/2011,dark green,0.006257435,-0.000119333,-0.001411692,-0.003224906,0.000970403,0.007389157,0.001160106
17/02/2011,dark green,0.003075692,0.001195674,0.003699374,0.001562348,0.007009598,0.003143524,0.002703581
18/02/2011,dark green,0.001924723,0.000358514,-0.0002174,-0.003119935,0.002740006,-0.001044489,-0.003659653
22/02/2011,dark green,-0.020528566,0.001074556,0.009652159,0.0149742,0.006498704,-0.0013942,0.011599518
23/02/2011,dark green,-0.006111961,-0.000239466,-0.002470143,0.003632224,0.00895151,0.022338546,0.000573233
24/02/2011,dark green,-0.000994377,0.000477848,0.00258406,0.006363307,-0.007490356,-0.008876726,-0.000572905
25/02/2011,dark green,0.010550516,0.000238211,0.00322273,0.005885265,0.00659444,0.022046137,0.004204326
28/02/2011,dark green,0.005561086,0.00035773,-0.000428905,0.001301453,0.002038134,0.00168512,0.001712269
01/03/2011,dark green,-0.015739678,0.000607844,0.00113842,0.00289881,0.017216294,0.015141364,0.004863925
02/03/2011,dark green,0.001615201,-0.000476746,-0.005254423,-0.015372894,-0.00078555,0.003977551,-0.007023232
03/03/2011,dark green,0.017219002,-0.002026515,-0.006791213,-0.009785976,-0.013078916,-0.000330203,-0.006691398
04/03/2011,dark green,-0.007378038,0.002269951,0.007162957,0.008327975,0.009124555,0.004953714,0.004235201
07/03/2011,dark green,-0.008341232,-0.000715938,-0.002478235,-0.006386864,0.00265515,-0.004600612,-0.002684266
08/03/2011,dark green,0.008922734,-0.000357028,-0.002376998,-0.00609545,-0.002576586,-0.008583797,-0.001151973
09/03/2011,dark green,-0.001361703,0.000715708,0.005847487,0.009701292,0.000358805,0.003996029,0.005771032
10/03/2011,dark green,-0.018870952,0.001073393,0.008504985,0.016785818,-0.011763857,-0.016252038,0.006695007
11/03/2011,dark green,0.007080514,0.000119205,-0.002348933,-0.005646933,0.003266291,-0.005731633,-0.002850338
14/03/2011,dark green,-0.006049325,0.000594955,0.002247793,-0.000437746,0.004630295,0.002712756,-0.00076273
15/03/2011,dark green,-0.011200349,-0.000475781,0.003629459,0.014971189,-0.018651853,-0.036523531,0.005148879
16/03/2011,dark green,-0.019494949,0.001786346,0.008509704,0.01130506,-0.000220142,0.005967015,0.003225543
17/03/2011,dark green,0.013398229,-0.00047486,-0.003058974,-0.007665264,0.00535816,0.031053693,-0.002269057
18/03/2011,dark green,0.004310202,-0.000476379,-0.000634431,0.002681635,0.010221172,0.005752969,0.003221913
21/03/2011,dark green,0.014985846,-0.001070796,-0.005187475,-0.005884575,0.005564821,0.004710717,-0.001889075
22/03/2011,dark green,-0.003550567,-0.000238509,0.000532151,0.003336487,-0.000646804,0.007367641,0
23/03/2011,dark green,0.002913979,0.000119432,-0.001276802,-0.00128722,0.009277189,0.001994726,-0.000567887
24/03/2011,dark green,0.009340748,-0.000715611,-0.005111547,-0.007518861,-0.007980584,0.003317881,-0.0049241
