month,LEI,CEI,NBER,delta_1m_LEI,delta_3m_LEI,delta_6m_LEI,sign_delta_1m_LEI,sign_delta_3m_LEI,sign_delta_6m_LEI
10/1990,63.0,61.6,contraction,-0.014084507042253499,-0.04255319148936166,-0.04689863842662624,0,0,0
11/1990,61.8,61.3,contraction,-0.019047619047619094,-0.0462962962962963,-0.06505295007564293,0,0,0
12/1990,61.1,61.2,contraction,-0.01132686084142388,-0.04381846635367758,-0.0756429652042359,0,0,0
01/1991,60.3,60.8,contraction,-0.01309328968903444,-0.0428571428571429,-0.08358662613981763,0,0,0
02/1991,60.1,60.7,contraction,-0.003316749585406231,-0.027508090614886665,-0.0725308641975308,0,0,0
03/1991,59.9,60.6,contraction,-0.003327787021630663,-0.0196399345335516,-0.06259780907668232,0,0,0
04/1991,60.4,60.8,expansion,0.008347245409015025,0.0016583747927031746,-0.04126984126984129,1,1,0
05/1991,60.8,61.0,expansion,0.006622516556291367,0.011647254575707084,-0.016181229773462785,1,1,0
06/1991,60.7,61.2,expansion,-0.0016447368421051698,0.013355592654424112,-0.006546644844517162,0,1,0
07/1991,61.4,61.3,expansion,0.011532125205930737,0.016556291390728478,0.018242122719734685,1,1,1
08/1991,61.5,61.3,expansion,0.0016286644951140298,0.01151315789473689,0.023294509151414285,1,1,1
09/1991,62.0,61.5,expansion,0.008130081300813009,0.021416803953871452,0.03505843071786313,1,1,1
10/1991,61.9,61.4,expansion,-0.0016129032258064746,0.008143322475570033,0.024834437086092717,0,1,1
11/1991,61.9,61.4,expansion,0.0,0.006504065040650383,0.01809210526315792,0,1,1
12/1991,61.8,61.4,expansion,-0.0016155088852988922,-0.003225806451612949,0.018121911037891174,0,0,1
01/1992,62.2,61.6,expansion,0.0064724919093852055,0.004846526655896677,0.013029315960912122,1,1,1
02/1992,62.4,61.8,expansion,0.0032154340836012176,0.008077544426494346,0.014634146341463391,1,1,1
03/1992,63.0,62.0,expansion,0.009615384615384638,0.019417475728155387,0.016129032258064516,1,1,1
04/1992,63.4,62.2,expansion,0.006349206349206327,0.01929260450160765,0.024232633279483037,1,1,1
05/1992,64.0,62.3,expansion,0.009463722397476363,0.025641025641025664,0.033925686591276275,1,1,1
06/1992,64.4,62.5,expansion,0.006250000000000089,0.022222222222222313,0.042071197411003375,1,1,1
07/1992,64.7,62.7,expansion,0.004658385093167658,0.020504731861198805,0.04019292604501608,1,1,1
08/1992,64.9,62.6,expansion,0.0030911901081916975,0.014062500000000089,0.04006410256410268,1,1,1
09/1992,65.2,62.7,expansion,0.004622496147919833,0.012422360248447159,0.03492063492063496,1,1,1
10/1992,65.2,62.7,expansion,0.0,0.0077279752704791345,0.02839116719242909,0,1,1
11/1992,65.7,62.9,expansion,0.007668711656441718,0.01232665639445296,0.026562500000000044,1,1,1
12/1992,66.6,63.9,expansion,0.01369863013698617,0.02147239263803668,0.034161490683229635,1,1,1
01/1993,67.0,63.4,expansion,0.006006006006006092,0.02760736196319014,0.03554868624420397,1,1,1
02/1993,67.5,63.6,expansion,0.007462686567164179,0.02739726027397256,0.040061633281972174,1,1,1
03/1993,67.5,63.4,expansion,0.0,0.0135135135135136,0.03527607361963186,0,1,1
04/1993,67.9,63.7,expansion,0.00592592592592601,0.013432835820895607,0.041411042944785315,1,1,1
05/1993,68.2,63.8,expansion,0.0044182621502208705,0.010370370370370412,0.0380517503805175,1,1,1
06/1993,68.4,63.9,expansion,0.0029325513196481355,0.013333333333333417,0.0270270270270272,1,1,1
07/1993,68.5,64.0,expansion,0.0014619883040934841,0.008836524300441741,0.022388059701492536,1,1,1
08/1993,69.0,64.1,expansion,0.0072992700729927005,0.011730205278592334,0.022222222222222223,1,1,1
09/1993,69.4,64.2,expansion,0.005797101449275445,0.014619883040935672,0.02814814814814823,1,1,1
10/1993,69.8,64.3,expansion,0.005763688760806793,0.01897810218978098,0.02798232695139899,1,1,1
11/1993,70.2,64.6,expansion,0.005730659025788047,0.01739130434782613,0.029325513196480937,1,1,1
12/1993,71.2,65.5,expansion,0.014245014245014245,0.02593659942363108,0.04093567251461984,1,1,1
01/1994,71.2,65.1,expansion,0.0,0.02005730659025796,0.039416058394160625,0,1,1
02/1994,71.5,65.3,expansion,0.004213483146067376,0.018518518518518476,0.036231884057971016,1,1,1
03/1994,72.5,65.7,expansion,0.013986013986013986,0.018258426966292093,0.04466858789625352,1,1,1
04/1994,73.0,66.0,expansion,0.006896551724137931,0.025280898876404452,0.045845272206303765,1,1,1
05/1994,73.5,66.2,expansion,0.00684931506849315,0.027972027972027972,0.047008547008546966,1,1,1
06/1994,74.1,66.5,expansion,0.008163265306122372,0.0220689655172413,0.04073033707865156,1,1,1
07/1994,74.4,66.5,expansion,0.004048582995951571,0.0191780821917809,0.04494382022471914,1,1,1
08/1994,75.1,67.0,expansion,0.00940860215053748,0.02176870748299312,0.05034965034965027,1,1,1
09/1994,75.5,67.1,expansion,0.005326231691078638,0.018893387314440024,0.041379310344827586,1,1,1
